Player,Year,POS,club,GP,GS,MINS,G,A,G/90min,A/90min,GWG,GWA,HmG,RdG,HmA,RdA,base_salary,guaranteed_compensation,G+A
AJ Cochran,2014,D,HOU,19,14,1370,0,0,0.0,0.0,0,0,0,0,0,0,57500.0,73500.0,0
AJ Cochran,2015,D,HOU,7,5,512,0,0,0.0,0.0,0,0,0,0,0,0,60375.0,76375.0,0
Aaron Guillen,2016,D,DAL,2,1,106,0,0,0.0,0.0,0,0,0,0,0,0,103000.0,103000.0,0
Aaron Guillen,2017,D,DAL,6,4,374,0,0,0.0,0.0,0,0,0,0,0,0,54075.0,54075.0,0
Aaron Horton,2011,F,CLB,1,0,1,0,0,0.0,0.0,0,0,0,0,0,0,90000.0,121000.0,0
Aaron Horton,2012,F,CLB,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,55000.0,70500.0,0
Aaron Horton,2013,F,CLB,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,65000.0,80500.0,0
Aaron Jones,2017,D,PHI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,53004.0,53004.0,0
Aaron Kovar,2014,M,SEA,3,0,25,0,0,0.0,0.0,0,0,0,0,0,0,97000.0,97400.0,0
Aaron Kovar,2015,M,SEA,6,2,201,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,120400.0,0
Aaron Kovar,2016,M,SEA,16,10,811,1,0,0.11,0.0,0,0,0,1,0,0,126000.0,126400.0,1
Aaron Kovar,2017,M,SEA,7,1,199,0,0,0.0,0.0,0,0,0,0,0,0,132300.0,132700.0,0
Aaron Maund,2012,D,TOR,15,9,947,0,0,0.0,0.0,0,0,0,0,0,0,44000.0,59000.0,0
Aaron Maund,2013,D,RSL,3,3,270,0,0,0.0,0.0,0,0,0,0,0,0,70250.0,86916.66,0
Aaron Maund,2014,D,RSL,6,5,432,0,0,0.0,0.0,0,0,0,0,0,0,73000.0,80500.0,0
Aaron Maund,2015,D,RSL,22,21,1974,1,1,0.05,0.05,0,1,0,1,1,0,60000.0,63449.5,2
Aaron Maund,2016,D,RSL,20,20,1746,0,0,0.0,0.0,0,0,0,0,0,0,170000.0,176899.0,0
Aaron Maund,2017,D,RSL,15,14,1179,1,0,0.08,0.0,1,0,1,0,0,0,330000.0,348875.0,1
Aaron Pitchkolan,2007,D,DAL,16,11,1142,0,0,0.0,0.0,0,0,0,0,0,0,35400.0,35400.0,0
